#TYPE System.Management.Automation.PSCustomObject
"Name","LocalPackage"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1A5E35C253C9AC343BBE4EFFF3FED68F","@{LocalPackage=C:\Windows\Installer\8fad94cb.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1A67CF5340277B646BDF4074FC576F53","@{LocalPackage=C:\Windows\Installer\91a2a554.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1AEB755B8BA74AC49BBE0711BEE0BEB4","@{LocalPackage=C:\Windows\Installer\811c489.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1AF459309BB42D74899DFA54F0E751C8","@{LocalPackage=C:\Windows\Installer\811d1d8.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1BDDC46A3FFC19040BE51CEA297CA96E","@{LocalPackage=C:\Windows\Installer\41b67327.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1C1A4542968DBC943B4E3F01B503E709","@{LocalPackage=C:\Windows\Installer\41b67315.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1C8787349117DF04BAC92F9BCABA0F13","@{LocalPackage=C:\Windows\Installer\8fdfa70b.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1C8B91E02F96D8647A1A02F1CFA0E49C","@{LocalPackage=C:\Windows\Installer\8fdfa801.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1C95D164C3F87AD4DB29BB1E43C376AA","@{LocalPackage=C:\Windows\Installer\6cd6132b.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1D1587C5845BEFB44ACFFD917658A774","@{LocalPackage=C:\Windows\Installer\88747bf.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1D5AD45D58F1DB74ABD3BD969B78369B","@{LocalPackage=C:\Windows\Installer\8fc77ae1.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1DBA95305DF5D98458D103B37F5CBBEB","@{LocalPackage=C:\Windows\Installer\b9747fbe.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1DCD0CC1B1ABD9141A702DE9F40DBFE8","@{LocalPackage=C:\Windows\Installer\904c1db4.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1E104090DC5631548AC16ED7945B4543","@{LocalPackage=C:\Windows\Installer\b9747e8f.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1E40ED13447AEE5409CBED47210980AA","@{LocalPackage=C:\Windows\Installer\811cb96.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1EB5C81C9026F7748AC8B63D239C6F14","@{LocalPackage=C:\Windows\Installer\8fad98b4.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1EE0340ED26C1AA4A98D7075127E4567","@{LocalPackage=C:\Windows\Installer\58e7d05f.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1F9F36D98C0BD824AAD650B805DE085A","@{LocalPackage=C:\Windows\Installer\811c9b8.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\1FBA81D695AF89241A8EB5127366E45F","@{LocalPackage=C:\Windows\Installer\58e7cff3.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2093AA620B664444BA53A49C6BB86BE6","@{LocalPackage=C:\Windows\Installer\41b67321.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\213D16250A05F904EA5A3BB6D9115D74","@{LocalPackage=C:\Windows\Installer\b9748027.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\21702E11BEDA77543AE5756C942771F4","@{LocalPackage=C:\Windows\Installer\238711d3.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\21E525CC1E80DA146983200A974DD89F","@{LocalPackage=C:\Windows\Installer\6cce2019.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\22666D71967E03D4DA5A71534EAD0705","@{LocalPackage=C:\Windows\Installer\8874ae9.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\22C4C15A471576C43BA78160F6753A17","@{LocalPackage=C:\Windows\Installer\8b009915.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\22CAE4FEFBC2CF74E8D4E8D5C247AA70","@{LocalPackage=C:\Windows\Installer\8fdfa68a.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\22FC790F76F79F840B049A028DB427BC","@{LocalPackage=C:\Windows\Installer\23871246.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\235B76813F1CA824BBEEA2970C328D58","@{LocalPackage=C:\Windows\Installer\b9747e95.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\24E8AAD7D902EBE44AE79884AAB402C8","@{LocalPackage=C:\Windows\Installer\2ec0398a.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\250034094B41AF04D8818907D5912ED2","@{LocalPackage=C:\Windows\Installer\2f91fbdb.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\25014B4C15F3A6B4083EED508105C631","@{LocalPackage=C:\Windows\Installer\811c4b5.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\254100915D3D6C346A50E2415D8030E1","@{LocalPackage=C:\Windows\Installer\908677fc.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\25840AA37C2A0824691233CD94CE4DAF","@{LocalPackage=C:\Windows\Installer\811caa3.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\25EE10117ECB2864C87CBA8257CE9EDF","@{LocalPackage=C:\Windows\Installer\41b672c9.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\263AA3CE7C8353745947AE9476C90873","@{LocalPackage=C:\Windows\Installer\8fad94e3.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\28228DC32FD75E340A8EA512B736558C","@{LocalPackage=C:\Windows\Installer\6f90bd52.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\28A16E98C6FE9D84488597301523B2D2","@{LocalPackage=C:\Windows\Installer\8fdfa784.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\28B9B905E175CBC4D8E6008DDC4B0D5F","@{LocalPackage=C:\Windows\Installer\b9747e9b.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\29D09F8C85ED64C43BE92BF157E86AE6","@{LocalPackage=C:\Windows\Installer\af4081d1.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\2A1E8AE43A7D7104DB313763990BD8F5","@{LocalPackage=C:\Windows\Installer\5b4d47e.msp}"
